-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cta_transformer_layer         0.00%       0.000us         0.00%       0.000us       0.000us       5.953ms        72.24%       5.953ms     595.275us           0 B           0 B           0 B           0 B            10  
                                           cta_pde_loop         0.00%       0.000us         0.00%       0.000us       0.000us       5.607ms        68.05%       5.607ms     560.709us           0 B           0 B           0 B           0 B            10  
                         aten::_flash_attention_forward         0.84%     133.586us         2.64%     420.861us      42.086us       2.474ms        30.02%       2.474ms     247.389us           0 B           0 B      41.26 MB           0 B            10  
void pytorch_flash::flash_fwd_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.474ms        30.02%       2.474ms     247.389us           0 B           0 B           0 B           0 B            10  
                                            aten::addmm         3.86%     615.601us         4.98%     794.780us      26.493us       1.178ms        14.29%       1.178ms      39.259us           0 B           0 B     200.00 MB     200.00 MB            30  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.120ms        13.60%       1.120ms      12.448us           0 B           0 B           0 B           0 B            90  
                                              aten::add         3.61%     575.809us         5.74%     915.636us      11.445us       1.075ms        13.04%       1.075ms      13.433us           0 B           0 B     599.75 MB     599.75 MB            80  
                                              aten::mul         4.24%     677.225us         6.72%       1.072ms      13.400us     818.177us         9.93%     818.177us      10.227us           0 B           0 B     599.75 MB     599.75 MB            80  
                                              aten::cat         3.43%     548.003us         5.97%     952.535us      23.813us     745.510us         9.05%     745.510us      18.638us           0 B           0 B     320.04 MB     320.04 MB            40  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_relu_f2f_st...         0.00%       0.000us         0.00%       0.000us       0.000us     605.955us         7.35%     605.955us      30.298us           0 B           0 B           0 B           0 B            20  
